id,Emotion,Sentence
1,Hài quá,Dưới 5 củ tecno spark 40pro ngon nhất
2,Thật kinh tởm,Poco sao ko có đất
3,Hài quá,"Honor x9d shopee sale có 6tr7 6tr8 thôi. Cam tròn nhìn k đẹp lắm thôi chứ màn, pin sạc, độ bền OS ngon choét luôn. Mua 200 rồi chứ k là quất lun con đó ấy."
4,Hài quá,"Mình đang phân vân s26u và xiaomi17U. Nhưng sợ xiaomi mất vs chậm thông báo,k biết đã fix dc chưa"
5,Thật kinh tởm,8:15 ủa tưởng s25 fe lên exynos 2400 r chứ😀
6,Hài quá,"2 đứa thi nhau hát à.. giới thiệu chậm lại 1 chút xíu nữa, chứ lua nhanh quá nghe 2 đứa😂😂😂😂"
7,Hài quá,"Sửa title lại kìa kênh ơi, sao lại là A-d-nroid"
8,Thật kinh tởm,Ae đừng mua a07 nhé. Tôi đang dùng này. Cần tôi bán lại cho
9,Hài quá,Hơi bị côn đồ đấy 😢😢
10,Hài quá,"Tầm 6m đổ lại mua máy chính hãng, có thể mua máy cũ nên mua gì nhỉ ae, hoặc cố nhích lên 7 cũng được, đang thấy con mi 13 ngon mà thấy sọc nhiều quâ"
11,Hài quá,vivo cũng đc mà ko thấy nhắc ta
12,Thật kinh tởm,"Tầm 5-7 triệu mua con Poco M8 Pro đc ko nhỉ? Ko cần chơi game lắm, cần ổn định thôi."
13,Hài quá,tầm trung không có honor x9d à
14,Hài quá,"Con poco X7 pro không vào danh sách hả, hay chỉ là do máy này bán online nên không tínhv"
15,Hài quá,Mn cho hỏi con a17 chip G99 còn con a26 con exynos 1380 thì con nào ngonn với lai chip 1380 = chip snap nào ? Xin c on ạ 😊
16,Sợ quá,"còn con máy nữa khá ổn là redmi note 15 pro (ngang giá nhưng thua mi 15t) nhưng dc cái máy siêu bền, dành cho những phụ huynh có con nhỏ hay quăng quật, hoặc chính họ cũng hay làm rơi"
17,Hài quá,"Mình thấy tầm 3tr - 4tr 
tecno spark 40 pro ngon nhất ko thấy nhắc đến nhỉ"
18,Hài quá,"mấy máy 10-15tr dùng vài năm có bị chậm, khựng không anh em?"
19,Hài quá,K thấy nhắc tới Poco nhỉ trong khi Poco trong khi phân khúc từ 7-15tr Poco làm tốt và có khi nhỉnh hơn Redmi và Oppo luôn ấy chứ
20,Hài quá,năng lượng vui vẻ năng động đấy 2 người cứ giữ vibe này thêm tầm chục video nx là ok
21,Hài quá,Nên chọn 15T hay 14T pro nhỉ
22,Hài quá,Quên con honor 400 pro rồi
23,Hài quá,Tâm giá 10 15 thì edge 70 mới ra vẫn đáng tiền nhất
24,Hài quá,11tr s25fe new hay ráng 16tr mua s24+ new nhỉ
25,Hài quá,"Dùng Xiaomi,Oppo và mua 1 cái ss cùng tầm giá thì màn nó đẹo hơn thật,chỉ là hơi thô hơn thôi"
26,Hài quá,"Xiaomi 15 512 shopee bán 14,5tr mà k cho vào à :))"
27,Hài quá,A06 5g giá 2 triêu
28,Hài quá,mua máy chính hãng = sai lầm tuổi trẻ :))) dc thì quất cao cấp còn dưới 10 củ xách tay là ngon nhất 😂
29,Hài quá,Bốc con a56 6tr1 thấy ổn áp phết
