id,Emotion,Sentence
1,Enjoyment,Dưới 5 củ tecno spark 40pro ngon nhất
2,Disgust,Poco sao ko có đất
3,Enjoyment,"Honor x9d shopee sale có 6tr7 6tr8 thôi. Cam tròn nhìn k đẹp lắm thôi chứ màn, pin sạc, độ bền OS ngon choét luôn. Mua 200 rồi chứ k là quất lun con đó ấy."
4,Enjoyment,"Mình đang phân vân s26u và xiaomi17U. Nhưng sợ xiaomi mất vs chậm thông báo,k biết đã fix dc chưa"
5,Disgust,8:15 ủa tưởng s25 fe lên exynos 2400 r chứ😀
6,Enjoyment,"2 đứa thi nhau hát à.. giới thiệu chậm lại 1 chút xíu nữa, chứ lua nhanh quá nghe 2 đứa😂😂😂😂"
7,Enjoyment,"Sửa title lại kìa kênh ơi, sao lại là A-d-nroid"
8,Disgust,Ae đừng mua a07 nhé. Tôi đang dùng này. Cần tôi bán lại cho
9,Enjoyment,Hơi bị côn đồ đấy 😢😢
10,Enjoyment,"Tầm 6m đổ lại mua máy chính hãng, có thể mua máy cũ nên mua gì nhỉ ae, hoặc cố nhích lên 7 cũng được, đang thấy con mi 13 ngon mà thấy sọc nhiều quâ"
11,Enjoyment,vivo cũng đc mà ko thấy nhắc ta
12,Disgust,"Tầm 5-7 triệu mua con Poco M8 Pro đc ko nhỉ? Ko cần chơi game lắm, cần ổn định thôi."
13,Enjoyment,tầm trung không có honor x9d à
14,Enjoyment,"Con poco X7 pro không vào danh sách hả, hay chỉ là do máy này bán online nên không tínhv"
15,Enjoyment,Mn cho hỏi con a17 chip G99 còn con a26 con exynos 1380 thì con nào ngonn với lai chip 1380 = chip snap nào ? Xin c on ạ 😊
16,Fear,"còn con máy nữa khá ổn là redmi note 15 pro (ngang giá nhưng thua mi 15t) nhưng dc cái máy siêu bền, dành cho những phụ huynh có con nhỏ hay quăng quật, hoặc chính họ cũng hay làm rơi"
17,Enjoyment,"Mình thấy tầm 3tr - 4tr 
tecno spark 40 pro ngon nhất ko thấy nhắc đến nhỉ"
