id,Emotion,Sentence
4496,Enjoyment,Không làm gì được tiếng Việt Nam thì nói đi câu
1286,Enjoyment,Nó quay ghe đi dưới sông dơ thấy ghê
6779,Enjoyment,tuổi này hồng lắm
2242,Enjoyment,"quãi chưởng, nộm bò khô vỉa hè có cả bộ đàm luôn ạ"
5250,Enjoyment,Thang sep khong di thua Cho no Chet me
4314,Enjoyment,m sửa xe hay mày sả xe dậy
1438,Disgust,Chủ yếu Việt Nam sạch sẽ lịch sự
210,Enjoyment,"ko mê nổi cụm camera mấy máy TQ luôn á, nó xấu đau đớn mà còn lệch nữa, mỗi honor magic 8 thấy đỡ đỡ xíu"
1151,Enjoyment,"Cái mặt thằng Trump nhìn kỹ thì thấy ngay: cái mõm của nó là cái đít vịt điển hình => lật lọng, gian trá là bản tính của nó! Bạn nó, nó còn lật mặt, bắt nạt huống chi là mình!
Không thể hy vọng điều gì tốt đẹp ở bộ mặt mang cái đít vịt như thế, nói dến cùng thì Mỹ vẫn là kẻ thù của chúng ta!"
400,Enjoyment,Người dân không ai thèm bầu cử hết chúng minh mấy ông có giá trị với dân rồi
4598,Enjoyment,Uầy coi đã cái nư luôn kkk
4966,Disgust,phim lan lát. đúng là trang dien 😅
6249,Enjoyment,Ib mình với
6222,Disgust,Ib em với ạ
130,Enjoyment,Cho e hỏi mua có phải chuyển tiền trước k a
2453,Enjoyment,Bán hàng ăn uông mà o bọc găng tay toàn bốc tay không
2063,Enjoyment,chiếm vỉa hè nhiều quá
3181,Disgust,Xin cảm ơn Phê Game! Những tựa game indie của Việt Nam sẽ ngày càng lớn mạnh và phát triển rực rỡ! Chúng mình luôn tin vào điều đó!!
1577,Enjoyment,Mình miền nam nhìn cũng thấy ngon nữa mà chưa được ăn
1053,Enjoyment,Đỉnh của chóp❤
6285,Enjoyment,"tròn 3 năm ch đặt chân tới đây r,nhớ đợt đó đi hết luon ,nhớ mỗi biển nt"
3391,Sadness,Anh
3607,Disgust,thiếu mất vô hạn game của dev game số 1 thế giới rồi.
418,Enjoyment,"Chả có thông tin hữu ích nào cả - chỉ nói tào lao, vớ vẩn ! Tai sao rác rưởi như kênh này không bị loại bỏ nhỉ ?"
5066,Enjoyment,2 nghệ sĩ giỏi quá diễn hay tuyệt
5395,Enjoyment,ko được đây nè
5707,Enjoyment,đang ăn á tr🥰s
5908,Enjoyment,Từ sg đi đến bến tàu bằng xe gì v bn
4490,Enjoyment,"Nào bọn nó chx xứng đáng để ta làm thế, làm thế bẩn hết cả tay 🚬🗿"
5766,Enjoyment,cho e hỏi giá nhà 2ng lớn 2 bé nhỏ (7tuoi vs 2tuoi) thì bao nhiu ạ
3210,Enjoyment,"Đừu có cả zone nine nihilation, mong chờ vl"
1274,Fear,"Khi có kế hoạch đi du lịch người VN hay người nước ngoài đều có tính toán cụ thể, sát sườn việc chi tiêu tài chính mà mình tiết kiệm trước đó. Vì vậy, việc ăn những món lạ, rẻ, tương đối vệ sinh thì họ thích thôi. Giới giàu có, giới bình dân đều có yêu cầu đi du lịch, nhưng mỗi giới đều có sở thích khác nhau. Nếu thích thì họ quay lại sau 1 vài năm. Còn nếu không thích không trở lại nữa."
6598,Enjoyment,"có ai ở biên hòa đi chung ko mấy fen,hay có tua biên hòa lên núi bà ko....😂😂"
6492,Enjoyment,Sunworld đã thay đổi diện mạo núi bà đen
4245,Enjoyment,"Lúc nào mình cũng thích ngọc với phát 1 đội nha. ❤❤❤mình ko đẩy thuyền 2 người,,nhưng mình thích 2 người 1 đội chơi."
5297,Enjoyment,Hello anh Hoai Linh ❤❤❤❤
2631,Enjoyment,Việt nam thật hùng vĩ
5839,Fear,Mình mới vừa book vào tết 1tr8/1người :)))
3958,Enjoyment,Sao lại mời 3 giám khảo đó vậy.😀🤣
1449,Enjoyment,sau anh o lo ăn lo uống no sau ăn
5330,Enjoyment,Phim nay hay ne co bao ngoc luong the Thanh Phuong toi thick Bo Phim nay ❤❤❤❤❤❤❤
3708,Enjoyment,"Cái con chuột nó té luôn rồi , cái nhảy múa với cái con hình nhân nữa 😂😂😂😂😂"
3973,Enjoyment,Sáng chế ra được cái gì mà gọi là siêu trí tuệ? Nghèo mạt mà cứ phét lác thì bao giờ mới giầu!
2742,Fear,tôi sẽ bắt đầu 2026 từ vìdeo này ❤🎉
5597,Enjoyment,tối nhớ lại ko dám ăn cơm 🥶🥶🥶🥶
5528,Enjoyment,@Vinh Nguyễn
4734,Enjoyment,Anh xin lỗi vì làm tổn thương các em =)))))))
663,Enjoyment,7:29 mắc cười vãi
4203,Enjoyment,Quân ap giỏi tính nhẩm ghe
216,Enjoyment,Mọi người nghĩ sao về redmi tubo 4 giá gần 6tr ở thời điểm hiện tại?
2834,Enjoyment,Video này là cắt ghép vớ vẩn xàm xàm xàm xàm
1197,Enjoyment,Ẩm thực Việt Nam mãi đỉnh toàn món ngon
84,Enjoyment,Bây giờ Oppo Reno14 5g có ổn không vậy mn
2210,Enjoyment,sao nói review đồ ăn vn mà
3293,Disgust,ko có vô tận thì chịu
6605,Enjoyment,công chình đẹp vazz
6192,Enjoyment,E xin thông tin tour trùng khánh ạ
3427,Disgust,Z xã hội có nhiều loại thuốc 🎉🎉áe4 để 🎉 ra có thể có 😅 trong mùa hè năm nay có rất nhiều loại thuốc này có thể có được một số người có
6728,Enjoyment,Đầu 2026 thấy Long vip ONLINE được nhiều người quan tâm.
2933,Enjoyment,Top những điểm thăm quan trên đèo cả đi❤❤❤❤❤❤❤❤❤❤
6376,Fear,Sướng
4609,Fear,:)) giờ t bắt đầu thấy kênh này cuốn cuốn rồi đó
4351,Enjoyment,Có tôi
3256,Disgust,"có cái khúc đưa tiền bảo kê ấy,nếu anh từ chối đưa tiền bảo kê thì khú đó còn vui lắm, mà tiếc ghê.🥲"
6173,Enjoyment,Xin tt tour trùng khánh
5948,Enjoyment,climate 5 ngày tui mới nạp tuần trước là 15k í
727,Enjoyment,Nhiều tiếng nd vân kiều cũng giống tiếng dân tộc Thái lào
1475,Enjoyment,6:11 nó là bánh khọt mà
5359,Enjoyment,"Đẻ 7 ngày mà như hôm qua , nhìn 2 mẹ con chán , tới đoạn 2 mẹ con cho qua"
3899,Fear,cày lạiiiii cho đến khi có mùa mớiii
6018,Enjoyment,Cái làng cống khang 😅😅
2078,Enjoyment,Nhìn mắm này biết thang to tien lu nẻo rồi đấy nhé 😢dogs china nhé 😢🎉
5904,Enjoyment,Cảnh đẹp ❤️
4260,Enjoyment,Nể Trấn Thành tập này EQ quá cao
3104,Enjoyment,Việt nam tui nghèo nhưng thật đẹp và thân thiện
5233,Disgust,Anh chỉ làm 1 lần duy nhất nha🤣
6574,Enjoyment,tôi đi cn ngày 20 âm vừa rồi đông lắm
6158,Enjoyment,Mình xin giá tour ạ
5780,Enjoyment,10triệu/ 1người nhé các chế
2460,Enjoyment,Chia sẻ video đi chợ Thái Lan hay quá Chúc đoàn của Khoainhiều may mắn và hạnh phúc nha👍😍🍹
6311,Disgust,trường t đi cái này nhm phải tự túc 😭😭
5615,Fear,ngon quá
3371,Enjoyment,bài đồng chí cấp 2 nha
2378,Enjoyment,Biết chỗ này ăn giá cũng bình dân lắm mà ngon
4056,Enjoyment,Ủa. Nếu họ ko bik truoc. Tại sao bận đồ giống nhau. Chac chắn nguoi thật và ng giả họ biết. Diễn đúng k. Họ đều bận đồ giống nhau
4866,Enjoyment,Chơi ngu trong cuộc đời
3393,Enjoyment,Thế bố của anh hai là 💀
3490,Enjoyment,Game xứng đáng là rất buồn và hay nhất thế giới.❤
4706,Enjoyment,đội ơn anh tổng hợp drama :')) năm sau phát huy nữa anh nhá
4739,Enjoyment,"vụ tk bên Hàn 1 đống con bò bị dắt mũi, bọn hàn đẩy thằng này lên để dập vụ máy bay thả nhầm bon vào làng dân"
4543,Enjoyment,Việt nam mãi đỉnh
6229,Enjoyment,Có cần hc k ạ
520,Enjoyment,2026. Đây vẫn là video mình xem đi xem lại nhiều nhất của Khoai
4730,Enjoyment,"Clm cha Virus đợt đó cứ lên xh tiktok t, xem cứ bẩn mắt kiểu gì."
510,Disgust,ước 1 ngày được đi như Khoai
3560,Enjoyment,"Nhớ hồi dịch Covid-19 toàn ngồi chơi Axie để kiếm tiền, hoài niệm vch"
3472,Enjoyment,"Tui cực kỳ ủng hộ nha. Xong rồi, tui quay lại chơi game TQ tiếp đây. :D:D:D"
