platform,keyword,video_id,comment
tiktok,ai,7.61E+18,em làm rồi không được
tiktok,ai,7.61E+18,có mất phí k nhạ
tiktok,ai,7.61E+18,Ko làm dc luôn
tiktok,ai,7.61E+18,làm bằng AI
tiktok,ai,7.61E+18,ai hỏi?
tiktok,ai,7.61E+18,làm saonhạ🥹🥹🥹🥹
tiktok,ai,7.61E+18,"Tui làm được, xin bí kíp hông🥰"
tiktok,ai,7.61E+18,Lừa tui hả.
tiktok,ai,7.61E+18,Dễ thương dữ chưa 😅
tiktok,ai,7.61E+18,ko có đc😢☹️🥺
tiktok,ai,7.61E+18,nhận làm video giống vậy nha
tiktok,ai,7.61E+18,Ai lm hộ vs ạ
tiktok,ai,7.61E+18,hay quá chi oi
tiktok,ai,7.61E+18,Em không làm được
tiktok,ai,7.61E+18,Nhưng tôi làm không được
tiktok,ai,7.61E+18,rất dễ
tiktok,ai,7.61E+18,cũng cách j gb
tiktok,ai,7.61E+18,dễ thương
tiktok,ai,7.61E+18,tháng8
tiktok,ai,7.61E+18,những
tiktok,ai,7.61E+18,miễn phí
tiktok,ai,7.61E+18,kh làm được đâu
tiktok,ai,7.61E+18,làm quá dễ
tiktok,ai,7.61E+18,ai hỏi
tiktok,ai,7.61E+18,ko được đây nè
tiktok,ai,7.61E+18,THE PEANUT BUTTER ONE???
tiktok,ai,7.57E+18,Thật hay giả
tiktok,ai,7.57E+18,"@bị thối từ nhỏ💩💩💩: ‼️CHÚ Ý CHO THẾ GIỚI CỦA CHÚNG TÔI‼️Xin hãy giúp đỡ những con gấu Bắc Cực bằng cách
1: Không sử dụng trí tuệ nhân tạo.
2: Sử dụng Ecosia thay vì Google, Ecosia trồng một cây cứ sau 45 lần tìm kiếm
3: Sử dụng chai có thể nạp lại và tái sử dụng
Tắt đèn khi không cần thiết hoặc khi rời khỏi phòng.
5: Ngừng ném rác, ném rác vào thùng rác, không ném xuống đất; đó là những gì các thùng rác được sử dụng. Ngay cả việc thu thập những mảnh rác nhỏ nhất cũng sẽ hiệu quả.
Vui lòng đăng tin nhắn này. ‼️sử dụng AI gây ảnh hưởng tới môi trường rất nhiều á, ví dụ khi hỏi một câu trên chat gpt thì đã tiêu thụ 2,9 Wh điện tức là gấp 10 lần tiêu thụ cho 1 câu hỏi trên google, chưa kể AI cũng tiêu thụ nước cần khoảng 0,5 lít nước để tạo 10-50 phản hồi. Hoặc là việc huấn luyện mấy con AI chatbot cũng tạo ra khoảng 300 tấn khí nhà kính CO2"
tiktok,ai,7.57E+18,má ơi con sợ😔
tiktok,ai,7.57E+18,"‼️CHÚ Ý CHO THẾ GIỚI CỦA CHÚNG TÔI‼️Xin hãy giúp đỡ những con gấu Bắc Cực bằng cách
1: Không sử dụng trí tuệ nhân tạo.
2: Sử dụng Ecosia thay vì Google, Ecosia trồng một cây cứ sau 45 lần tìm kiếm
3: Sử dụng chai có thể nạp lại và tái sử dụng
Tắt đèn khi không cần thiết hoặc khi rời khỏi phòng.
5: Ngừng ném rác, ném rác vào thùng rác, không ném xuống đất; đó là những gì các thùng rác được sử dụng. Ngay cả việc thu thập những mảnh rác nhỏ nhất cũng sẽ hiệu quả.
Vui lòng đăng tin nhắn này. 🎀"
tiktok,ai,7.57E+18,"Sử dụng AI gây ảnh hưởng tới môi trường rất nhiều, ví dụ khi hỏi một câu trên chat gpt thì đã tiêu thụ 2,9 Wh điện tức là gấp 10 lần tiêu thụ cho 1 câu hỏi trên google, chưa kể AI cũng tiêu thụ nước cần khoảng 0,5 lít nước để tạo 10-50 phản hồi. Hoặc là việc huấn luyện mấy con AI chatbot cũng tạo ra khoảng 300 tấn khí nhà kính CO2"
tiktok,ai,7.57E+18,"‼️CHÚ Ý CHO THẾ GIỚI CỦA CHÚNG TÔI‼️Xin hãy giúp đỡ những con gấu Bắc Cực bằng cách
1: Không sử dụng trí tuệ nhân tạo.
2: Sử dụng Ecosia thay vì Google, Ecosia trồng một cây cứ sau 45 lần tìm kiếm
3: Sử dụng chai có thể nạp lại và tái sử dụng
Tắt đèn khi không cần thiết hoặc khi rời khỏi phòng.
5: Ngừng ném rác, ném rác vào thùng rác, không ném xuống đất; đó là những gì các thùng rác được sử dụng. Ngay cả việc thu thập những mảnh rác nhỏ nhất cũng sẽ hiệu quả.
Vui lòng đăng tin nhắn này."
tiktok,ai,7.57E+18,"CHÚ Ý CHO THẾ GIỚI CỦA CHÚNG TÔI‼️Xin hãy giúp đỡ những con gấu Bắc Cực bằng cách
1: Không sử dụng trí tuệ nhân tạo.
2: Sử dụng Ecosia thay vì Google, Ecosia trồng một cây cứ sau 45 lần tìm kiếm
3: Sử dụng chai có thể nạp lại và tái sử dụng
Tắt đèn khi không cần thiết hoặc khi rời khỏi phòng.
5: Ngừng ném rác, ném rác vào thùng rác, không ném xuống đất; đó là những gì các thùng rác được sử dụng. Ngay cả việc thu thập những mảnh rác nhỏ nhất cũng sẽ hiệu quả.
Vui lòng đăng tin nhắn này. ‼️(hãy đẩy bl này lên đầu)"
tiktok,ai,7.57E+18,Ai mà
tiktok,ai,7.57E+18,"Sử dụng AI gây ảnh hưởng tới môi trường rất nhiều, ví dụ khi hỏi một câu trên chat gpt thì đã tiêu thụ 2,9 Wh điện tức là gấp 10 lần tiêu thụ cho 1 câu hỏi trên google, chưa kể AI cũng tiêu thụ nước cần khoảng 0,5 lít nước để tạo 10-50 phản hồi. Hoặc là việc huấn luyện mấy con AI chatbot cũng tạo ra khoảng 300 tấn khí nhà kính CO2.
Thay vào đó, bạn có thể tra cứu qua các app như ecosia giúp trồng cây mỗi lần tra cứu, oceanhero, ..."
