video_id,platform,text
IwMjtRaloaA,youtube,Dưới 5 củ tecno spark 40pro ngon nhất
IwMjtRaloaA,youtube,Poco sao ko có đất
IwMjtRaloaA,youtube,"Honor x9d shopee sale có 6tr7 6tr8 thôi. Cam tròn nhìn k đẹp lắm thôi chứ màn, pin sạc, độ bền OS ngon choét luôn. Mua 200 rồi chứ k là quất lun con đó ấy."
IwMjtRaloaA,youtube,"Mình đang phân vân s26u và xiaomi17U. Nhưng sợ xiaomi mất vs chậm thông báo,k biết đã fix dc chưa"
IwMjtRaloaA,youtube,8:15 ủa tưởng s25 fe lên exynos 2400 r chứ😀
IwMjtRaloaA,youtube,"2 đứa thi nhau hát à.. giới thiệu chậm lại 1 chút xíu nữa, chứ lua nhanh quá nghe 2 đứa😂😂😂😂"
IwMjtRaloaA,youtube,"Sửa title lại kìa kênh ơi, sao lại là A-d-nroid"
IwMjtRaloaA,youtube,Ae đừng mua a07 nhé. Tôi đang dùng này. Cần tôi bán lại cho
IwMjtRaloaA,youtube,Hơi bị côn đồ đấy 😢😢
IwMjtRaloaA,youtube,"Tầm 6m đổ lại mua máy chính hãng, có thể mua máy cũ nên mua gì nhỉ ae, hoặc cố nhích lên 7 cũng được, đang thấy con mi 13 ngon mà thấy sọc nhiều quâ"
IwMjtRaloaA,youtube,vivo cũng đc mà ko thấy nhắc ta
IwMjtRaloaA,youtube,"Tầm 5-7 triệu mua con Poco M8 Pro đc ko nhỉ? Ko cần chơi game lắm, cần ổn định thôi."
IwMjtRaloaA,youtube,tầm trung không có honor x9d à
IwMjtRaloaA,youtube,"Con poco X7 pro không vào danh sách hả, hay chỉ là do máy này bán online nên không tínhv"
IwMjtRaloaA,youtube,Mn cho hỏi con a17 chip G99 còn con a26 con exynos 1380 thì con nào ngonn với lai chip 1380 = chip snap nào ? Xin c on ạ 😊
IwMjtRaloaA,youtube,"còn con máy nữa khá ổn là redmi note 15 pro (ngang giá nhưng thua mi 15t) nhưng dc cái máy siêu bền, dành cho những phụ huynh có con nhỏ hay quăng quật, hoặc chính họ cũng hay làm rơi"
IwMjtRaloaA,youtube,"Mình thấy tầm 3tr - 4tr 
tecno spark 40 pro ngon nhất ko thấy nhắc đến nhỉ"
IwMjtRaloaA,youtube,"mấy máy 10-15tr dùng vài năm có bị chậm, khựng không anh em?"
IwMjtRaloaA,youtube,K thấy nhắc tới Poco nhỉ trong khi Poco trong khi phân khúc từ 7-15tr Poco làm tốt và có khi nhỉnh hơn Redmi và Oppo luôn ấy chứ
IwMjtRaloaA,youtube,năng lượng vui vẻ năng động đấy 2 người cứ giữ vibe này thêm tầm chục video nx là ok
IwMjtRaloaA,youtube,Nên chọn 15T hay 14T pro nhỉ
IwMjtRaloaA,youtube,Quên con honor 400 pro rồi
IwMjtRaloaA,youtube,Tâm giá 10 15 thì edge 70 mới ra vẫn đáng tiền nhất
IwMjtRaloaA,youtube,11tr s25fe new hay ráng 16tr mua s24+ new nhỉ
IwMjtRaloaA,youtube,"Dùng Xiaomi,Oppo và mua 1 cái ss cùng tầm giá thì màn nó đẹo hơn thật,chỉ là hơi thô hơn thôi"
IwMjtRaloaA,youtube,"Xiaomi 15 512 shopee bán 14,5tr mà k cho vào à :))"
IwMjtRaloaA,youtube,A06 5g giá 2 triêu
IwMjtRaloaA,youtube,mua máy chính hãng = sai lầm tuổi trẻ :))) dc thì quất cao cấp còn dưới 10 củ xách tay là ngon nhất 😂
IwMjtRaloaA,youtube,Bốc con a56 6tr1 thấy ổn áp phết
IwMjtRaloaA,youtube,"6tr thì săn sale sàn S con A56 best P/P luôn. Mình mua 1 con tặng cha, xài ngon!"
IwMjtRaloaA,youtube,mn ơi mình định mua k70pro cũ nhưng mà sạc 700 lần r nhìn cũng mới thì giá bao nhiêu là hợp lý v
IwMjtRaloaA,youtube,"con find x9 giờ mn mua loay hoay 18-19 củ thì nó bố phân khúc dưới 20, trên 20 ra tgdd không trừ quà à:)))"
IwMjtRaloaA,youtube,Mới lấy con a56 chính hãng 8.128 shope có 6.3. Nhiều máy ngon hơn nhưng bố lại chỉ thích ss
IwMjtRaloaA,youtube,Con Motorola edge 60 fusion canh tgdd sale 6m6 thôi.tôi đu đỉnh 7890k :))))
IwMjtRaloaA,youtube,Tầm trung lại thấy Sam ngon hơn mấy con Tàu thật
IwMjtRaloaA,youtube,Máy xách t-
IwMjtRaloaA,youtube,Mấy dòng ít tiền cam chống mù thôi hay do thời lượng video ít nên ko thấy nói nhỉ
5i4F3n-8znc,youtube,không game nặng tôi dám khẳng định máy mới tầm 3tr con tecno 40 pro này ngon nhất ae nhé
5i4F3n-8znc,youtube,Mấy cái giá rẻ này thông số chỉ lòe thôi
5i4F3n-8znc,youtube,"Còn máy nào tầm 3-4 triệu có tính năng cảm ứng như techno spark 40 pro không ad và mọi người , tks"
5i4F3n-8znc,youtube,Đt j méo thấy ai xài cũng quốc dân😂😂😂
5i4F3n-8znc,youtube,Giao hơi lâu
5i4F3n-8znc,youtube,"Góp ý với kênh là trong những clip kiểu ""liệt kê"" như thế này thì khi đang nói về chiếc nào, hãy ghi tên nó lên màn hình."
5i4F3n-8znc,youtube,Tôi lại mong lg quay lại mảng này vì thiết kế của họ rất đẹp từng là số1
5i4F3n-8znc,youtube,"Giờ thì mình không tin vào Tecno nữa .
Tecno spark go 2  loa kép đúng là âm lượng lớn thật nhưng mà có dùng được đâu? Xem Youtube nếu mở>50% thì lập tức nó lạng ngay. Đang xem video này nó nhảy qua video khác và tiếp tục nhảy không ngừng, lại còn tự động bật phụ đề Tiếng Việt nữa mới ghê.😂
Lỡ rồi, đành để em nó làm cục phát wifi cho khỏi bực mình."
5i4F3n-8znc,youtube,Mua  tecno về rồi hỏng ko có linh kiện thay ! Xác định hỏng thì vứt
5i4F3n-8znc,youtube,Dòng Samsung A mà màn nhỏ hơn thì mình cũng thấy ok đó
5i4F3n-8znc,youtube,mấy bn oi tecno camon 30s máy chụp anh ngon không nên mua vào cuối năm nay không
5i4F3n-8znc,youtube,Anh nam ơi bây giờ iPhone 13 còn nguyên seal 100% không nhỉ
5i4F3n-8znc,youtube,Áp dụng youtube shopping kiểu gì. Đường dẫn link toàn cho vào shoppe đắt hơn nhiều
5i4F3n-8znc,youtube,Cứ có tiền thì mua gì sai cũng thành đúng
5i4F3n-8znc,youtube,"Poco M7pro sao Nam ơi, liệu còn đáng mua thời điểm hiện tại không.?"
5i4F3n-8znc,youtube,"New thì con này ok nhất r. Toàn diện đồng đều. Nhưng ae công nghệ sẽ chọn flaship cũ tầm giá này kk
Tôi thích mi10s tầm này nhất😂"
5i4F3n-8znc,youtube,anh nam ơi kênh bên kia nói techno spark go 2 là loa đơn và chip thua con g81 làm em đag đặt hàng nghe xog hãi quá muốn hủy đơn luôn.giờ kb họ noi co đúng ko.
5i4F3n-8znc,youtube,mong lần sau tecno làm 1 con tương tự như này nâng lên pin 7k bán 5tr thì mua ngay
5i4F3n-8znc,youtube,thiếu poco x7 pro là sai lầm :v
5i4F3n-8znc,youtube,Nhờ b mua hộ dt dc ko a
5i4F3n-8znc,youtube,Ram 12GB mới ổn chuẩn bộ nhớ mới nữa 😂
5i4F3n-8znc,youtube,Chúc anh nam vui vẻ nha
5i4F3n-8znc,youtube,Tặng em iPhone 13 Promax Sài nha anh nam
5i4F3n-8znc,youtube,không đủ tiền mua a56 mua a36 được không ad nhỉ
5i4F3n-8znc,youtube,Nói giá rất ngon kích vào ko phải.rất hay.ít người biết đến giá này
5i4F3n-8znc,youtube,con techno kia như kiểu độ chỉ số ấy nhỉ g100 gánh màn 120 lại còn màn 1.5k (chắc có phần cứng nào độ lên) nghe nó hơi bất khả thi dùng lâu chắc phải chuyển từ 120 xuống 60 mới mượt mình nghĩ vậy wifi nhiều lúc ngáo nữa
5i4F3n-8znc,youtube,note 14 hyper os thực sự lag ae à phải lên chip mạnh mạnh hơn thì đỡ
5i4F3n-8znc,youtube,"xem video a nhiều,100% video đều nhắc đến giá trên ytshopping thật sự thì giá này mấy ai tiếp cận được đâu."
pagK9UaAEQI,youtube,Tham khảo tại Điện Thoại Hay : https://dienthoaihay.vn/oneplus/oneplus-15-p993.html
pagK9UaAEQI,youtube,oneplus 15 cài rom quốc tế xong khoá lại vừa đc cập nhật OTA quá bá
pagK9UaAEQI,youtube,Em có 10 triệu muốn mua đt ko quan tâm pin lắm chỉ cần camera ok tí và chơi game ổn định tại game em chơi không nặng lắm hiện tại em đag khá ưng mi 15 có con nào nổi bật hơn mi15 ko ạ
pagK9UaAEQI,youtube,Tầm giá 15 thì có nên mua honor win ko a
